frase,situacao
"sinto um leve desconforto nas costas ao acordar, sem irradiacao",baixo risco
"percebi batimentos um pouco mais rapidos depois do cafe, sem dor",baixo risco
caminhei vinte minutos sem falta de ar nem dor no peito,baixo risco
"tenho leve cansaco no fim do dia, mas durmo bem a noite inteira",baixo risco
"sinto um puxadinho muscular no braco apos musculacao, sem tontura",baixo risco
fiz check-up recente e apenas relatei estresse no trabalho,baixo risco
"sinto ardor leve no estomago apos refeicao pesada, sem suor frio",baixo risco
"tive um espirro frequente por gripe, sem dispneia nem palpitacoes",baixo risco
"sinto leve rigidez no pescoco ao usar travesseiro alto, sem nauseas",baixo risco
corri devagar no parque e nao senti dor toracica nem falta de ar,baixo risco
"apresento leve inchaco nos pes apos viagem longa, ja melhorou",baixo risco
sinto um formigamento passageiro na mao ao dormir de lado,baixo risco
"relato leve indisposicao pos vacina, sem febre alta nem dor no peito",baixo risco
"sinto cansaco apenas apos jogo intenso de futebol, recupero rapido",baixo risco
"tenho tosse alergica sazonal, sem falta de ar em repouso",baixo risco
"sinto leve pressao no ouvido ao decolar de aviao, passou em minutos",baixo risco
"caminho subidas leves sem precisar parar, sem dor retroesternal",baixo risco
"sinto desconforto leve na costela apos espirro forte, sem dispneia",baixo risco
"relato ansiedade leve antes de prova, sem palpitacoes prolongadas",baixo risco
"sinto fadiga apenas por falta de sono, sem edema nem ortopneia",baixo risco
"fiz exercicios de alongamento e sinto leve queimação muscular, nao cardiaca",baixo risco
"sinto um cutucao leve no abdomen apos corrida, sem irradiacao toracica",baixo risco
"relato dor de garganta por virose, sem sintomas cardiovasculares",baixo risco
sinto leve tontura ao virar a cama devido a labirintite tratada,baixo risco
caminhei no shopping por uma hora sem falta de ar ou dor,baixo risco
"sinto leve palpitacao isolada apos refrigerante, durou segundos",baixo risco
"relato dor muscular nas costas por postura, sem nauseas ou suor",baixo risco
"sinto sonolencia apos almoco pesado, sem opressao toracica",baixo risco
"fiz exame de rotina sem queixas ativas, apenas historico familiar distante",baixo risco
"sinto leve desconforto na virilha apos bicicleta, sem dor no peito",baixo risco
"relato estresse e tensao na nuca por computador, sem dor toracica",baixo risco
"sinto leve falta de ar ao subir cinco lances correndo, recupero em um minuto",baixo risco
"apresento pele seca no inverno, sem cianose ou dispneia",baixo risco
"sinto leve batimento irregular apos cafeina, sem sincope",baixo risco
"relato azia ocasional, sem dor precordial irradiando",baixo risco
"sinto cansaço apenas por excesso de trabalho, sem edema em mmii",baixo risco
sinto dor no peito com falta de ar ao subir um lance de escadas,alto risco
tenho dor retroesternal forte e suor frio desde ha uma hora,alto risco
apresento dispneia repentina e dor toracica lateral ao inspirar,alto risco
sinto aperto no peito irradiando para mandibula e nausea intensa,alto risco
tenho palpitacoes rapidas com tontura e quase desmaio ao levantar,alto risco
sinto falta de ar ao deitar e preciso de tres travesseiros para dormir,alto risco
apresento dor no peito irradiando para braco esquerdo e fraqueza,alto risco
tenho inchaço nos tornozelos com ganho de peso e dispneia aos esforços,alto risco
sinto dor toracica subita com respiração superficial e taquicardia,alto risco
apresento cianose labial com falta de ar em repouso,alto risco
tenho hipotensao medida em casa com tontura e pele fria,alto risco
sinto opressao precordial com irradiacao para costas e formigamento,alto risco
relato dor no peito em repouso que nao melhora com antacido,alto risco
tenho dispneia paroxistica noturna acordando sem ar,alto risco
sinto aperto intenso no peito ao esforço minimo com nauseas,alto risco
apresento palpitacoes sustentadas com dor toracica e confusao leve,alto risco
tenho falta de ar progressiva com chiado e cansaço extremo,alto risco
sinto dor latejante na nuca com visão turva e pressão alta medida,alto risco
relato dor epigastrica com irradiacao toracica e sudorese,alto risco
tenho edema abdominal com falta de ar aos pequenos esforços,alto risco
sinto lipotimia apos esforço com palidez e batimentos irregulares,alto risco
apresento dor precordial com lipotimia e queda de pressão,alto risco
tenho dor no peito com irradiacao para mandibula ao escovar dentes,alto risco
sinto falta de ar grave mesmo sentado e sensação de sufocamento,alto risco
relato sincope breve apos dor toracica em aperto,alto risco
tenho taquicardia persistente com dor no peito e tontura,alto risco
apresento sopro novo relatado com cansaço aos mínimos esforços,alto risco
sinto dor toracica com tosse com sangue e taquipneia,alto risco
tenho dor no peito com náuseas e vômitos após esforço,alto risco
relato piora rapida da dispneia com ortopneia e edema,alto risco
sinto dor retroesternal em queimação com falta de ar súbita,alto risco
apresento palpitações com dor toracica e perda de consciência breve,alto risco
tenho dor no peito com irradiação para ambos os braços,alto risco
sinto aperto precordial com sudorese fria e medo de morrer,alto risco
relato piora da falta de ar com inchaço dos pés em dias,alto risco
tenho dor toracica pleuritica com febre alta e taquicardia,alto risco
