Sintoma 1,Sintoma 2,Doença Associada
dor no peito,aperto no torax,Infarto agudo do miocardio
dor no peito,falta de ar,Angina estável
cansaço constante,fadiga,Insuficiência cardíaca
falta de ar,dificuldade para respirar,Angina
falta de ar,dispneia,Insuficiência cardíaca
palpitações,tontura,Arritmia supraventricular
inchaço nos tornozelos,peso nas pernas,Insuficiência cardíaca com congestão periférica
aperto no torax,queimação no peito,Doença arterial coronariana
dor no peito,braço esquerdo,Infarto agudo do miocardio
dispneia,tosse seca,Insuficiência cardíaca
tontura,visão turva,Síncope cardiogênica (suspeita)
dor latejante na nuca,pressão na cabeça,Hipertensão arterial sistêmica descompensada
dor no peito,nausea,Infarto agudo do miocardio
dor no peito,suor frio,Infarto agudo do miocardio
falta de ar,ortopneia,Insuficiência cardíaca
edema em mmii,cansaço,Insuficiência cardíaca
taquicardia,palpitacoes,Fibrilação atrial (suspeita)
dor retroesternal,esforço físico,Angina estável
opressão no peito,falta de ar,Síndrome coronariana aguda (suspeita)
cansaço,edema,Insuficiência cardíaca
lipotimia,tontura,Bradicardia ou hipotensão ortostática
dor precordial,irradiação para mandíbula,Infarto agudo do miocardio
sopro cardíaco,cansaço,Valvopatia (avaliação)
dor torácica súbita,respiração superficial,Embolia pulmonar (suspeita)
hipotensão,tontura,Choque cardiogênico (suspeita)
peito apertado,correr,Angina de esforço
dispneia paroxística noturna,falta de ar,Insuficiência cardíaca
palpitações,ansiedade,Taquicardia sinusal fisiológica versus arritmia
dor no peito,repouso,Angina instável
fadiga,atividade leve,Insuficiência cardíaca
dor epigástrica irradiação torax, náusea,Infarto silencioso ou atípico
cianose,falta de ar,Cardiopatia congênita (suspeita)
dor no peito,irradiação para costas,Dissecção aórtica (suspeita)
tonteira,levantar rápido,Hipotensão ortostática
inchaço abdominal,falta de ar,Insuficiência cardíaca direita
cansaço noturno,palpitacoes,Arritmia
dor no peito,queda de pressão,Choque (suspeita)
falta de ar,chiado no peito,Asma versus ICC (diferencial didático)
dor precordial,ardor,Refluxo gastroesofágico versus angina (diferencial didático)
